timestamp, distance1, distance2, distance3, distance4, distance5, linearVelocity, angularVelocity, linearAccel, angularAccel
none,0.06754,0.08474,0.11616,0.18972,0.27917,-0.86354,-0.13001,-4.15903,-0.976
none,0.06918,0.0829,0.1178,0.19162,0.28067,-0.93953,-0.17249,-4.28395,-1.1063
none,0.07125,0.08483,0.11984,0.19394,0.28215,-1,-0.2156,-4.37528,-1.2270
none,0.0697,0.08629,0.12116,0.19523,0.28403,-1,-0.25856,-4.38026,-1.3176
none,0.07139,0.08772,0.12232,0.19768,0.2855,-1,-0.29929,-4.38089,-1.3993
none,0.07351,0.08953,0.12389,0.20025,0.28378,-1,-0.3376,-4.37992,-1.4714
none,0.07524,0.0909,0.1248,0.20189,0.28529,-1,-0.37332,-4.38081,-1.5438
none,0.07417,0.08934,0.12611,0.20127,0.28682,-1,-0.40697,-4.39197,-1.6165
none,0.07596,0.09067,0.1268,0.19936,0.288,-1,-0.43899,-4.39692,-1.684
none,0.07648,0.0924,0.12791,0.20091,0.28643,-1,-0.46938,-4.3975,-1.7430
none,0.07721,0.09412,0.12894,0.2038,0.28813,-1,-0.4978,-4.39457,-1.7997
none,0.07624,0.09256,0.12989,0.20196,0.2899,-1,-0.52451,-4.40593,-1.859
none,0.07818,0.09387,0.13028,0.19992,0.28815,-1,-0.55009,-4.41093,-1.9111
none,0.07728,0.09559,0.13112,0.20362,0.2869,-1,-0.57416,-4.40872,-1.9559
none,0.07973,0.09732,0.12803,0.20135,0.28856,-1,-0.59656,-4.41741,-2.0079
none,0.0789,0.09582,0.12884,0.19907,0.28712,-1,-0.61814,-4.42917,-2.0538
none,0.07882,0.09758,0.12962,0.1997,0.2858,-1,-0.63861,-4.42919,-2.0935
none,0.08073,0.09615,0.13039,0.2003,0.285,-1,-0.65778,-4.43395,-2.130
none,0.08062,0.09837,0.13161,0.19865,0.28393,-1,-0.67568,-4.43422,-2.1665
none,0.08292,0.10022,0.13236,0.19636,0.28259,-1,-0.69256,-4.43477,-2.1998
none,0.08265,0.0989,0.13312,0.19415,0.28064,-1,-0.7084,-4.44429,-2.2326
none,0.08255,0.10123,0.13433,0.19268,0.27923,-1,-0.72337,-4.44341,-2.2624
none,0.08205,0.1,0.13159,0.19459,0.27696,-1,-0.73744,-4.45437,-2.2905
none,0.08205,0.09922,0.13287,0.19421,0.27662,-1,-0.75067,-4.45776,-2.3170
none,0.08526,0.1013,0.13374,0.19227,0.27604,-1,-0.76311,-4.45481,-2.3406
none,0.08542,0.10063,0.13508,0.19104,0.27562,-1,-0.77472,-4.45839,-2.3644
none,0.08518,0.10283,0.13262,0.18933,0.27197,-1,-0.78568,-4.46534,-2.3871
none,0.08552,0.10228,0.13406,0.18831,0.27188,-1,-0.79604,-4.46756,-2.4081
none,0.08672,0.10178,0.13219,0.18738,0.27198,-1,-0.8058,-4.47516,-2.4306
none,0.08627,0.1046,0.13374,0.18656,0.26876,-1,-0.81518,-4.4712,-2.4457
none,0.0863,0.10384,0.13493,0.18532,0.26523,-1,-0.82376,-4.47577,-2.4597
none,0.0869,0.10355,0.1333,0.18471,0.26319,-1,-0.8316,-4.48287,-2.4755
none,0.0876,0.10333,0.13503,0.18422,0.26266,-1,-0.83898,-4.48214,-2.488
none,0.08877,0.10317,0.13358,0.18382,0.26225,-1,-0.8458,-4.48692,-2.5034
none,0.08931,0.10309,0.13546,0.18354,0.25966,-1,-0.8523,-4.48604,-2.5120
none,0.09033,0.10644,0.13418,0.18336,0.25677,-1,-0.8581,-4.48334,-2.5209
none,0.08953,0.10654,0.13622,0.18329,0.25607,-1,-0.86336,-4.48157,-2.529
none,0.0917,0.10671,0.13512,0.17967,0.25475,-1,-0.86819,-4.48727,-2.5401
none,0.0938,0.10697,0.13412,0.17987,0.25145,-1,-0.87279,-4.48398,-2.5356
none,0.0911,0.10604,0.13642,0.18018,0.25211,-1,-0.87614,-4.48066,-2.5370
none,0.09376,0.10774,0.13561,0.18059,0.24794,-1,-0.87893,-4.47381,-2.5281
none,0.09435,0.10826,0.13809,0.18112,0.24732,-1,-0.88053,-4.46559,-2.5243
none,0.09395,0.10887,0.13447,0.17831,0.24544,-1,-0.88155,-4.47383,-2.5262
