timestamp, distance1, distance2, distance3, distance4, distance5, linearVelocity, angularVelocity, axialPower, turnPower
00:00:08,160.877,223.557,420.479,819.411,589.763,4.631,0.006,0.538,0.001,
00:00:08,188.377,254.975,520.961,814.634,555.497,4.759,0.006,0.554,0.001,
00:00:08,162.298,284.206,625.249,810.34,461.413,4.934,0.006,0.579,0.002,
00:00:08,187.262,315.659,612.082,809.357,423.661,5.115,0.006,0.594,0.002,
00:00:08,213.344,349.214,664.637,809.168,387.423,5.249,0.006,0.595,0.001,
00:00:08,191.323,388.321,655.167,809.397,355.584,5.276,0.006,0.586,0.002,
00:00:08,221.512,490.841,648.699,817.512,320.849,5.277,0.006,0.589,0.002,
00:00:09,310.472,477.427,645.29,832.112,285.684,5.328,0.006,0.614,0.001,
00:00:09,346.233,526.286,637.403,840.368,250.594,5.514,0.005,0.647,0.001,
00:00:09,382.897,508.41,622.721,283.433,215.217,5.733,0.003,0.673,0.001,
00:00:09,361.642,487.052,600.737,355.097,184.222,5.917,0.002,0.688,0,
00:00:09,395.561,460.079,570.456,781.761,198.089,6,0.001,0.695,0,
00:00:09,372.707,434.386,540.198,744.046,166.86,6,0.001,0.691,0,
00:00:09,344.884,402.9,502.748,696.526,130.573,6,0.001,0.688,0,
00:00:09,318.138,372.594,466.651,650.676,192.927,6,0.001,0.686,0,
00:00:09,292.289,343.169,431.364,605.329,156.737,6,0.001,0.684,0,
00:00:10,265.1,312.136,394.018,557.085,708.573,5.978,0.002,0.64,0.001,
00:00:10,242.523,287.59,366.923,528.889,669.914,5.732,0.004,0.589,0.001,
00:00:10,224.796,270.026,351.407,525.874,631.341,5.46,0.006,0.573,0.002,
00:00:10,208.929,255.179,341.036,515.679,594.569,5.284,0.006,0.556,0.002,
00:00:10,197.905,246.999,342.32,474.947,607.074,5.018,0.008,0.507,0.002,
00:00:10,192.949,248.074,362.723,438.093,575,4.773,0.009,0.51,0.002,
00:00:10,191.844,255.868,402.381,498.161,544.039,4.74,0.009,0.539,0.002,
00:00:10,191.914,266.867,376.913,463.709,514.653,4.852,0.008,0.561,0.002,
00:00:10,195.525,285.432,338.221,477,484.239,4.992,0.008,0.576,0.002,
00:00:11,204.047,311.808,363.315,442.561,502.657,5.119,0.007,0.586,0.002,
00:00:11,220.629,270.109,358.907,408.181,472.12,5.201,0.008,0.586,0.002,
00:00:11,240.41,228.925,321.019,373.995,442.032,5.255,0.009,0.595,0.002,
00:00:11,196.547,286.108,332.468,340.789,412.943,5.344,0.009,0.612,0.002,
00:00:11,198.91,246.355,296.16,307.31,383.579,5.477,0.01,0.633,0.003,
00:00:11,210.488,256.055,260.954,326.028,355.338,5.625,0.011,0.642,0.003,
00:00:11,169.499,218.042,225.304,293.856,325.93,5.616,0.011,0.588,0.003,
00:00:11,181.001,183.905,192.86,264.957,299.81,5.139,0.012,0.444,0.003,
00:00:12,156.475,161.107,224.122,247.43,285.842,4.312,0.013,0.3,0.004,
00:00:12,135.096,141.632,209.226,236.648,282.212,3.261,0.015,0.234,0.004,
00:00:12,120.84,182.891,203.417,237.253,295.356,2.682,0.016,0.253,0.004,
00:00:12,162.505,178.099,203.856,247.099,299.547,2.564,0.016,0.286,0.004,
00:00:12,158.029,177.978,211.029,269.199,270.709,2.567,0.017,0.294,0.004,
00:00:12,156.036,180.651,222.513,266.168,306.76,2.688,0.017,0.34,0.004,
